#Indent,Branch,PV,Description,Latch,Delay,Filter,Guidance
,,TM1K2:ATM:STC:01:TEMP_RBV,THERMOCOUPLE,,,,
1,PF1K2:WFS,,,,,,
,,PF1K2:WFS:STC:01:TEMP_RBV,THERMOCOUPLE 1,,,,
,,PF1K2:WFS:STC:02:TEMP_RBV,THERMOCOUPLE 2,,,,
1,IM5K2:PPM,,,,,,
,,IM5K2:PPM:SPM:VOLT_RBV,PM VOLTAGE,,,,
,,IM5K2:PPM:SPM:STC:TEMP_RBV,PM THERMOCOUPLE,,,,
,,IM5K2:PPM:YAG:STC:TEMP_RBV,YAG THERMOCOUPLE,,,,
,,IM5K2:PPM:PIP:1:PRESS_RBV,IM5K2 ION PUMP,,,,
,,IM5K2:PPM:PIP:1:STATE_RBV,IM5K2 ION PUMP STATE,,,,
1,TM2K2:ATM,,,,,,
,,TM2K2:ATM:STC:01:TEMP_RBV,THERMOCOUPLE,,,,
1,PF2K2:WFS,,,,,,
,,PF2K2:WFS:STC:01:TEMP_RBV,THERMOCOUPLE 1,,,,
,,PF2K2:WFS:STC:02:TEMP_RBV,THERMOCOUPLE 2,,,,
1,IM6K2:PPM,,,,,,
,,IM6K2:PPM:SPM:VOLT_RBV,PM VOLTAGE,,,,
,,IM6K2:PPM:SPM:STC:TEMP_RBV,PM THERMOCOUPLE,,,,
,,IM6K2:PPM:YAG:STC:TEMP_RBV,YAG THERMOCOUPLE,,,,
